year,case,title,documenturl,courtline,fileddate,citation,parallelcite,docketnum,summary,searchsnippet1,searchsnippet2,searchsnippet3,searchsnippet4
2005,Aventis Environmental Science USA LP v. Scotts Co.,Aventis Environmental Science USA LP v. Scotts Co.,https://www.westlaw.com/Document/I7259033468d111d9aa2e8abcfac83d3a/View/FullText.html?listSource=Search&list=CASE&rank=444&sessionScopeId=b148ef7b263a93e7be26a0ca3b0848336dc62882a98ffc68849e42f08b111e5e&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, S.D. New York.",13-Jan-05,383 F.Supp.2d 488,2005 WL 82133,99CIV.4015(LAP)(THK),ANTITRUST - Exclusive Dealing Arrangements. There was fact question whether change of distributors violated Sherman Act.,"...from the market.  Additionally, the Asset Sales Agreement contains a covenant not to compete for a period of ten years, which further suggests AgrEvo...",,,
2010,"E.E.O.C. v. Pizza & Sub Express, Inc.","E.E.O.C. v. Pizza & Sub Express, Inc.",https://www.westlaw.com/Document/I5c471f27c7e411df89dabf2e8566150b/View/FullText.html?listSource=Search&list=CASE&rank=748&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, M.D. Georgia, Athens Division.",13-Sep-10,Not Reported in F.Supp.2d,2010 WL 3715751,3:09-CV-85-CDL,"Plaintiff Equal Employment Opportunity Commission (EEOC) and PlaintiffIntervenor Stephanie Willis (Willis) contend that Willis's former employer, Pizza & Sub Express, Inc. (PSE) subjected Willis to a hostile work environment because of her sex, in violation of Title VII of the Civil Rights Act of 1964, as amended, 42 U.S.C. § 2000e et seq.,...","...its restaurant until October 20, 2007; the restaurant violated a non- compete clause in a franchise agreement signed by one of PSE's...",,,
2010,Mohr v. Bank of New York Mellon Corporation,Mohr v. Bank of New York Mellon Corporation,https://www.westlaw.com/Document/Ibe934710c5f211e7bf23e096364180a5/View/FullText.html?listSource=Search&list=CASE&rank=34&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, N.D. Georgia, Atlanta Division.",14-Apr-10,Slip Copy,2010 WL 11566448,1:09CV2999-TWT,"The Court has read and considered Defendant Bank of New York Mellon Corporation's Renewed Emergency Motion for Temporary Restraining Order and Preliminary Injunction, as well Plaintiffs Michael A. Mohr, D. Jack Sawyer, Jr.'s Opposition in Response thereto. The Court has considered all evidence filed in support of, and in opposition to, the motion....",...of persuasion on all four elements with respect to the non- competition covenant and the non-solicitation of clients covenant at issue. Specifically...,"...on the merits of its claims seeking enforcement of the noncompetition covenant and the non-solicitation of clients covenant. Furthermore, the...","...and Mohr are found to be violating valid and enforceable covenants restraining competition and restraining solicitation of clients. Furthermore, the Court is not...",...for Temporary Restraining Order and Preliminary Injunction as to the non- competition and nonsolicitation covenants at issue. The Court is persuaded that Defendant has satisfied...
2008,"A.G. Design & Associates, LLC v. Trainman Lantern Co., Inc.","A.G. Design & Associates, LLC v. Trainman Lantern Co., Inc.",https://www.westlaw.com/Document/I0c12f82d9b5811dd9876f446780b7bdc/View/FullText.html?listSource=Search&list=CASE&rank=393&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, W.D. Washington, at Tacoma.",14-Oct-08,Not Reported in F.Supp.2d,2008 WL 4587309,07-05158 RBL,"THIS MATTER is before the Court upon Plaintiff's Motion for Attorneys' Fees and Costs. [Dkt. # 164]. For the reasons stated below, Plaintiff's Motion for Attorneys' Fees and Costs is DENIED WITHOUT PREJUDICE. Plaintiff A.G. Design & Associates request attorneys' fees and costs under the April 1, 2003 Agreement. The agreement states that [i]f any...","...a matter of law that Defendant Marcus Mukai breached the covenant not to compete contained in the April 1 Agreement, the Court should award...",,,
2010,"In re All American Properties, Inc.","In re All American Properties, Inc.",https://www.westlaw.com/Document/I38cea1554c9811dfa7ada84b8dc24cbf/View/FullText.html?listSource=Search&list=CASE&rank=16&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States Bankruptcy Court, M.D. Pennsylvania.",15-Apr-10,Not Reported in B.R.,2010 WL 1541694,1:10-BK-00273MDF,"Petro seeks reconsideration of this Court's Order entered March 10, 2010 denying its request for relief from the automatic stay. Petro sought relief from the automatic stay to enforce an order entered by the District Court on January 14, 2010 (the January 14 Order) against Debtor. The January 14 Order was entered approximately forty...",...It seeks relief only for the purpose of enforcing the Covenant Not to Compete that was incorporated in the Franchise Agreement for the Breezewood...,"...14 Order not only provided for the enforcement of the Covenant Not to Compete, it also entered judgment by default against Debtor for approximately...",...of its argument was directed toward obtaining enforcement of the Covenant Not to Compete. Petro further agrees that the Debtor may assert any defenses...,...and responsibilities of Debtor and Petro in regard to the Covenant Not to Compete. Debtor also asserts that Hohol is distinguishable because the bankruptcy...
2010,EMC Corp. v. Arturi,EMC Corp. v. Arturi,https://www.westlaw.com/Document/I9234369d0e9b11e0852cd4369a8093f1/View/FullText.html?listSource=Search&list=CASE&rank=13&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, D. Massachusetts.",15-Dec-10,Not Reported in F.Supp.2d,2010 WL 5187764,CIV.A. 10-40053-FDS,"This is a dispute between a corporation and several of its former employees arising out of their departure to a competitor. Defendants Emanuel Arturi, Francis Casagrande, and Christopher Blotto are former employees of plaintiff EMC Corporation who are now employed by defendant Knowledgent Group, Inc. While employed at EMC, Blotto signed a Key...","...a Key Employee Agreement (KEA) with three relevant provisions: a non- competition clause, a non-solicitation clause, and a confidentiality clause. EMC...","...1). As noted, the KEA contains three relevant provisions: a non- competitive provision, a non-solicitation provision, and a confidentiality provision. A. Non  Competition Provision Section (b) of the non- competition provision of the KEA provides in relevant part: This section...","...that was at a director level, subjecting him to the non- competition provision. When he was hired by EMC, Blotto was a...","...not a director, and was thus not bound by the covenant not to compete. (Blotto Decl. ¶¶ 5, 6). At least as early as..."
2010,Martin v. Frail,Martin v. Frail,https://www.westlaw.com/Document/Ie48d7910303b11e7afe7804507f6db3f/View/FullText.html?listSource=Search&list=CASE&rank=528&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, W.D. Texas, San Antonio Division.",15-Jun-10,Slip Copy,2010 WL 11506634,SA-09-CA-695-OG,"Came on this day to be considered: defendants Frail, Green, Osborn and Pruitt's (collectively, defendants) joint motion to compel answers to defendants' first sets of interrogatories, filed June 1, 2010, and the response of plaintiffs Martin, Individually and Derivatively on behalf of CAL-TEX Protective Coatings, Inc....","...responded to this question, referencing his employment agreement, with a non- compete agreement, and a restrictive stock agreement with Cal-Tex Coatings...","...is an act or omission that breaches an employment agreement, non- compete agreement or restrictive stock agreement. There is support for defendants...",,
2009,"Cheney v. IPD Analytics, L.L.C.","Cheney v. IPD Analytics, L.L.C.",https://www.westlaw.com/Document/I948c2a8d3f2411deabded03f2b83b8a4/View/FullText.html?listSource=Search&list=CASE&rank=35&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, S.D. Florida.",16-Apr-09,Not Reported in F.Supp.2d,2009 WL 1298405,08-23188-CIV,"This matter is before the Court Plaintiffs/Counter-Defendants' Motion to Dismiss IPD Analytics' Counterclaims [D.E. 62]. The Court has reviewed the motion, Defendant/Counter-Plaintiff's response, the reply, related authorities submitted by the parties, and the record in the case. For the foregoing reasons the motion to dismiss should be granted in...","...Counterclaim, however, asserts that Plaintiffs Cheney and Calkins breached the non- competition clauses of their employment agreements by directly competing with Analytics...",...both Plaintiffs are practicing law and cannot be restrained by non- competition agreements; 2) Count III should be dismissed because it fails...,...the breach of contract counter-claim is moot because the non- competition clause of his employment agreement was enforceable for only one...,...contract counterclaims arise out of Plaintiffs' alleged breach of the non- competition clauses under their employment agreements. Plaintiffs' sole basis for dismissal...
2009,"Eklin Medical Systems, Inc. v. Laufersky","Eklin Medical Systems, Inc. v. Laufersky",https://www.westlaw.com/Document/I176a6cc3f62f11de8bf6cd8525c41437/View/FullText.html?listSource=Search&list=CASE&rank=11&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, W.D. Michigan, Southern Division.",16-Dec-09,Not Reported in F.Supp.2d,2009 WL 5149886,1:09-CV-808,"COMMERCIAL LAW - Contracts. Under California law, a corporation was not entitled to a preliminary injunction requiring company to cease all business operations until its action was adjudicated.","...of Relief 212IV(L) Trade or Business 212 1383 k. Non- competition and non-solicitation issues. (Formerly 212k138.39 Under California law, a...",...a company that provided ultrasound equipment for breach of the non- competition agreement executed by the parties. The corporation was therefore not...,"...and services and thus was not entitled to enforce the covenant-not-to- compete in the agreement. Further, because corporation was not conducting business...","...injunction specifically enforcing Sections 3, 4, and 5 of a non- competition agreement between Plaintiff and Defendant Randy Laufersky (Defendant), enjoining Defendant..."
2009,"NuMed Technologies, Inc. v. Bibbs","NuMed Technologies, Inc. v. Bibbs",https://www.westlaw.com/Document/If5986cf0ff2c11e69f02f3f03f61dd4d/View/FullText.html?listSource=Search&list=CASE&rank=788&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, W.D. Tennessee, Western Division.",16-Jul-09,Slip Copy,2009 WL 10665207,09-2277-JPM-CGC,"Before the Court is Plaintiff NuMed Technologies, Inc.'s (NuMed) Motion to Stay Defendants' Motion to Dismiss, filed June 11, 2009. (Docket Entry (D.E.) 8.) Defendants David Bibbs and Patrick Nolan (Defendants) filed a response on June 29, 2009. (D.E. 14.) A hearing was held on the motion on July 16, 2009. Representing NuMed were Bradley...",...¶¶13-22.) NuMed also seeks enforcement of twelve-month noncompetition covenants contained in the amended employment agreements. Id. ¶¶23...,,,
2005,Hollinger Intern. Inc. v. Hollinger Inc.,Hollinger Intern. Inc. v. Hollinger Inc.,https://www.westlaw.com/Document/If3dcc18f2a4211da9bcc85e7f8e2f4cd/View/FullText.html?listSource=Search&list=CASE&rank=139&sessionScopeId=b148ef7b263a93e7be26a0ca3b0848336dc62882a98ffc68849e42f08b111e5e&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, N.D. Illinois, Eastern Division.",16-May-05,230 F.R.D. 508,2005 WL 2290338,04 C 698,TORTS - Discovery. Company's release to SEC of redacted version of investigatory report did not constitute waiver as to redacted material.,"...conspiracy, alleging systematic looting of corporation's assets via, e.g., sham non- compete payments. After the District Court denied officers' motion to dismiss...","...action respecting the payments made to the Executives under the [ non- competition] Agreements [and] take all action necessary, including litigation, to recover...",,
2005,"Palmer & Cay, Inc. v. Marsh & McLennan Companies, Inc.","Palmer & Cay, Inc. v. Marsh & McLennan Companies, Inc.",https://www.westlaw.com/Document/I7e9ca0702e5211e8a054a06708233710/View/FullText.html?listSource=Search&list=CASE&rank=48&sessionScopeId=b148ef7b263a93e7be26a0ca3b0848336dc62882a98ffc68849e42f08b111e5e&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, S.D. Georgia, Savannah Division.",17-Aug-05,Slip Copy,2005 WL 8156260,403CV094,"Insisting that the 1997 and 2002 restrictive covenant agreements that he signed with his former employer, defendant Marsh & McClennan Companies, Inc. (MMC), are unenforceable, plaintiff James B. Meathe and his current employer, Palmer & Cay, Inc. (P&C), sought from this Court a judgment enjoining MMC from enforcing them. Doc. # 4. MMC...","...acquired J&H. Id. at 1299-1300 That agreement contained non- compete and non-solicitation covenants restricting him, upon his departure from MMC, from working for...",...apply two different levels of scrutiny to covenants like a covenant not to compete. The level will depend on whether the covenant is ancillary...,,
2008,In re v.  Gilpin,In re Gilpin,https://www.westlaw.com/Document/I2216cb9e571211ddbc7bf97f340af743/View/FullText.html?listSource=Search&list=CASE&rank=37&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States Bankruptcy Appellate Panel, of the Sixth Circuit.",17-Jul-08,391 B.R. 210,2008 WL 2787520,Jul-31,MCS Acquisition Corp. d/b/a Mobile Container Service (MCS) appeals the bankruptcy court's order denying its motion for relief from the automatic stay in the bankruptcy case of Bruce and Sheree Gilpin. MCS sought relief to enforce in Pennsylvania state court a previously issued injunction enjoining Mr. Gilpin from violating a noncompetition...,...a previously issued injunction enjoining Mr. Gilpin from violating a noncompetition agreement. Because we conclude that the bankruptcy court erred in concluding that the equitable right to enforce the noncompetition agreement was a claim under 11 U.S.C. § 101(5...,...discretion when it adjudged that MCS's equitable rights under the covenant not to compete constituted a claim under 11 U.S.C. § 101(5)(B...,"...to remain employed by Mobile (under new ownership) and sign noncompetition agreements. The agreement signed by the Debtor stated in pertinent part the following: 2. NONCOMPETITION AND NONSOLICITATIONIn consideration of [MCS's] employment, [Debtor] agrees that...","...of business activities it believed amounted to violations of the noncompetition agreements. Consequently, MCS sued the Debtor and others in the..."
2010,"Timberline Drilling, Inc. v. American Drilling Corp.","Timberline Drilling, Inc. v. American Drilling Corp., LLC",https://www.westlaw.com/Document/Id0d37960653d11e79657885de1b1150a/View/FullText.html?listSource=Search&list=CASE&rank=37&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, D. Idaho.",17-Mar-10,Slip Copy,2010 WL 11531293,CV 09-18-N-EJL-MHW,"Currently pending before the Court is Defendants' Motion for Summary Judgment (Docket No. 49); Plaintiffs' Motion for Partial Summary Judgment (Docket No. 50) and Plaintiffs' Motion for Leave to File Supplemental Affidavit (Docket No. 70). Plaintiffs' Complaint contains the following causes of action: Count One, breach of contract (covenant not to...","...the following causes of action: Count One, breach of contract ( covenant not to compete); Court Two, conversion; Count Three, violation of Idaho Trade Secrets...","...for partial summary judgment only on the breach of the covenant not to compete claim. In their opening brief, Defendants stated: In addition Plaintiffs...",...6 million if he retired from the corporation. The entire non- compete provision is set forth as Attachment A to this Report...,"...Church, employees at Timberline, and expressed his discomfort with the non- compete clause and the way it was buried within the Agreement..."
2007,County Materials Corp. v. Allan Block Corp.,County Materials Corp. v. Allan Block Corp.,https://www.westlaw.com/Document/I7fe6b7ba65f211dcbd4c839f532b53c5/View/FullText.html?listSource=Search&list=CASE&rank=18&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States Court of Appeals, Seventh Circuit.",18-Sep-07,502 F.3d 730,2007 WL 2701979,Jun-57,PATENTS - Inequitable Conduct. Covenant not to compete in patent licensing agreement did not constitute patent misuse.,...2007. Background: Concrete block manufacturer brought action seeking declaration that covenant not to compete in patent licensing agreement was not enforceable. The United States...,"...Court of Appeals, rather than with Federal Circuit; (2)  covenant not to compete did not constitute patent misuse; (3)  covenant not to compete was valid and enforceable; and (4) district court did...",...k. Intellectual property. (Formerly 170Bk1137 Licensee's action seeking declaration that covenant not to compete in patent licensing agreement was not enforceable did not arise...,...1642 k. Building and paving materials and methods. (Formerly 291k283(1) Covenant not to compete in patent licensing agreement for manufacture of concrete blocks did...
2010,Hayes v. Great American E&S Insurance Company,Hayes v. Great American E&S Insurance Company,https://www.westlaw.com/Document/I7f9a0010449e11e799c1e9209d7cf8d2/View/FullText.html?listSource=Search&list=CASE&rank=756&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, C.D. California.",19-Apr-10,Slip Copy,2010 WL 11509149,ED-CV-08-1522-RHW,"Before the Court are the parties' Motions for Summary Judgment (Ct. Rec. 25, 26). A hearing on the motions was held on February 11, 2010. Plaintiff was represented by Thomas Ladegaard and Joseph Oliva; Defendants were represented by Michelle Bernard. The following facts are taken from the Award of Arbitrator issued by William D. Shapiro. (Ct. Rec....",...Open riding activities. The Endorsement defines Open riding activities as: noncompetitive and non-organized motorcycle riding on the insured premises by...,,,
